,0
FP_932,0.018410227725061495
FP_1101,0.013399638212085205
FP_1654,0.012772472004287489
FP_935,0.011999718663868281
FP_843,0.011489973830549388
FP_967,0.00921539087631342
FP_674,0.008932712726481934
FP_1603,0.007967235045921655
FP_790,0.006492956510187695
FP_1164,0.006418838486528404
FP_1917,0.006204441814374394
FP_807,0.005325264413961049
FP_1373,0.0052821939936334595
FP_758,0.004913599532214106
FP_1765,0.00472046921210126
FP_239,0.004505201515988128
FP_494,0.004446498551933894
FP_1384,0.0044050357378265775
FP_61,0.00437573270936193
FP_1831,0.004063136350375659
FP_1930,0.00403374617520797
FP_1136,0.004013099797740178
FP_80,0.00383180556402062
FP_651,0.0037430358332188867
FP_1463,0.0037336814431195415
FP_1855,0.0037317075308743513
FP_1866,0.0036978665671983067
FP_489,0.0036416513114525865
FP_1088,0.0035928289468823947
FP_1954,0.0035784788558062847
FP_540,0.003512820749197225
FP_695,0.0034333225741210714
FP_121,0.0033118027265219107
FP_1199,0.00330253295610858
FP_1070,0.0033024875497713393
FP_1452,0.0032907304184941377
FP_724,0.003289711516892361
FP_389,0.003286737924003179
FP_841,0.0032655831655375622
FP_352,0.003254304938826954
FP_34,0.0032168482090699758
FP_102,0.003194492914897868
FP_1754,0.0031407894454025076
FP_378,0.00313723713641109
FP_561,0.0031354680174423585
FP_548,0.0031337282293570027
FP_314,0.0031283141755697086
FP_240,0.0031164404622007484
FP_1236,0.0030326468129835515
FP_43,0.003021191213227674
